"Fecha de pago",Bono,,,,,,Ticker,Renta,,,,Amortización,,,R+A,,Moneda
2023/01/09,"Bono República Argentina Ley ",,,,,,GD38,1.94,,,,0,,,1.94,,USD
2023/07/09,"Bono República Argentina Ley ",,,,,,GD38,1.94,,,,0,,,1.94,,USD
2024/01/09,"Bono República Argentina Ley ",,,,,,GD38,2.12,,,,0,,,2.12,,USD
2024/07/09,"Bono República Argentina Ley ",,,,,,GD38,2.12,,,,0,,,2.12,,USD
2025/01/09,"Bono República Argentina Ley ",,,,,,GD38,2.5,,,,0,,,2.5,,USD
2025/07/09,"Bono República Argentina Ley ",,,,,,GD38,2.5,,,,0,,,2.5,,USD
2026/01/09,"Bono República Argentina Ley ",,,,,,GD38,2.5,,,,0,,,2.5,,USD
2026/07/09,"Bono República Argentina Ley ",,,,,,GD38,2.5,,,,0,,,2.5,,USD
2027/01/09,"Bono República Argentina Ley ",,,,,,GD38,2.5,,,,0,,,2.5,,USD
2027/07/09,"Bono República Argentina Ley ",,,,,,GD38,2.5,,,,4.55,,,7.05,,USD
2028/01/09,"Bono República Argentina Ley ",,,,,,GD38,2.39,,,,4.55,,,6.94,,USD
2028/07/09,"Bono República Argentina Ley ",,,,,,GD38,2.27,,,,4.55,,,6.82,,USD
2029/01/09,"Bono República Argentina Ley ",,,,,,GD38,2.16,,,,4.55,,,6.71,,USD
2029/07/09,"Bono República Argentina Ley ",,,,,,GD38,2.05,,,,4.55,,,6.6,,USD
2030/01/09,"Bono República Argentina Ley ",,,,,,GD38,1.93,,,,4.55,,,6.48,,USD
2030/07/09,"Bono República Argentina Ley ",,,,,,GD38,1.82,,,,4.55,,,6.37,,USD
2031/01/09,"Bono República Argentina Ley ",,,,,,GD38,1.7,,,,4.55,,,6.25,,USD
2031/07/09,"Bono República Argentina Ley ",,,,,,GD38,1.59,,,,4.55,,,6.14,,USD
2032/01/09,"Bono República Argentina Ley ",,,,,,GD38,1.48,,,,4.55,,,6.03,,USD
2032/07/09,"Bono República Argentina Ley ",,,,,,GD38,1.36,,,,4.55,,,5.91,,USD
2033/01/09,"Bono República Argentina Ley ",,,,,,GD38,1.25,,,,4.55,,,5.8,,USD
2033/07/09,"Bono República Argentina Ley ",,,,,,GD38,1.14,,,,4.55,,,5.69,,USD
2034/01/09,"Bono República Argentina Ley ",,,,,,GD38,1.02,,,,4.55,,,5.57,,USD
2034/07/09,"Bono República Argentina Ley ",,,,,,GD38,0.91,,,,4.55,,,5.46,,USD
2035/01/09,"Bono República Argentina Ley ",,,,,,GD38,0.8,,,,4.55,,,5.35,,USD
2035/07/09,"Bono República Argentina Ley ",,,,,,GD38,0.68,,,,4.55,,,5.23,,USD
2036/01/09,"Bono República Argentina Ley ",,,,,,GD38,0.57,,,,4.55,,,5.12,,USD
2036/07/09,"Bono República Argentina Ley ",,,,,,GD38,0.45,,,,4.55,,,5,,USD
2037/01/09,"Bono República Argentina Ley ",,,,,,GD38,0.34,,,,4.55,,,4.89,,USD
2037/07/09,"Bono República Argentina Ley ",,,,,,GD38,0.23,,,,4.55,,,4.78,,USD
2038/01/09,"Bono República Argentina Ley ",,,,,,GD38,0.11,,,,4.55,,,4.66,,USD
