,TIPO,Ticker,Precio,Variación,Paridad,Val.Tec.,TIR,MD,TIRTarget,UpTIR,TIRProm,TIRMin,TIRMax,RP1,RP5,PQ,tPQ,FIN,MAT,ratMD
0,fija-badlar,BAY23,29.5,↓-1.67%,109.1%,27.0,0.00%,0.05,35.00%,8.06%,32.44%,-49.36%,124.36%,25.05,27.51,2023-05-15,20,2023-05-15,0.0528,0.947
1,fija-badlar,CO23,57.5,0.00%,214.5%,26.8,0.00%,0.08,35.00%,50.79%,40.10%,-25.56%,126.21%,45.24,57.19,2023-06-22,58,2023-06-22,0.1583,0.5054
2,fija-badlar,TB24,93.1,↑0.11%,91.3%,101.9,130.35%,0.56,35.00%,0.80%,94.32%,59.24%,137.86%,83.34,91.31,2023-07-18,84,2024-04-18,0.9944,0.5632
3,fija-badlar,BDC24,106.4,↑2.80%,100.3%,106.1,98.76%,0.57,35.00%,2.50%,82.66%,53.75%,105.38%,96.45,104.46,2023-06-29,65,2024-04-01,0.9472,0.6018
4,fija-badlar,PBA25,87.95,↓-1.18%,85.3%,103.2,133.55%,0.80,35.00%,1.79%,98.98%,55.62%,132.70%,75.49,86.92,2023-07-12,78,2025-04-14,1.9972,0.4006
5,fija-badlar,BDC28,107.0,↓-2.10%,94.5%,113.2,110.96%,0.99,35.00%,11.21%,88.45%,54.62%,110.33%,93.12,105.34,2023-05-22,27,2028-02-22,4.8972,0.2022
6,fija-badlar,TO23,71.4,↓-0.14%,71.1%,100.4,139.44%,0.28,35.00%,1.21%,100.72%,57.00%,141.21%,68.86,70.08,2023-10-17,175,2023-10-17,0.4833,0.5794
7,fija-badlar,TO26,21.21,↑0.28%,21.1%,100.4,122.92%,1.18,35.00%,13.76%,92.19%,56.04%,122.99%,19.46,20.57,2023-10-17,175,2026-10-19,3.5333,0.334
8,CER,T2X3,398.0,↓-0.13%,99.1%,401.7,4.65%,0.29,-0.78%,.60%,4.70%,-4.73%,18.16%,389.39,395.45,2023-08-14,111,2023-08-14,0.3056,0.949
9,CER,PR13,799.9,↑3.88%,113.2%,706.9,-20.61%,0.51,0.26%,10.89%,-5.35%,-20.61%,5.83%,752.83,775.11,2023-05-15,20,2024-03-15,0.9,0.5667
10,CER,TX24,405.0,↓-0.15%,91.6%,442.0,11.77%,0.86,1.22%,.43%,10.13%,0.93%,22.33%,389.12,400.93,2023-09-25,153,2024-03-25,0.9278,0.9269
11,CER,T2X4,290.0,↓-0.55%,86.9%,333.9,13.81%,1.16,1.77%,4.82%,11.33%,1.77%,26.25%,274.47,285.81,2023-07-26,92,2024-07-26,1.2694,0.9138
12,CER,TC25P,850.0,↓-0.12%,86.6%,981.7,12.04%,1.83,2.62%,8.61%,10.71%,0.23%,18.37%,803.84,834.51,2023-10-27,185,2025-04-28,2.0361,0.8988
13,CER,TX26,298.3,↓-1.68%,74.9%,398.4,14.94%,2.22,2.98%,0.49%,11.49%,2.86%,18.74%,286.68,293.02,2023-05-09,14,2026-11-09,3.5917,0.6181
14,CER,TX28,281.7,↓-1.50%,70.6%,398.9,14.81%,2.68,3.32%,7.09%,11.03%,2.95%,17.34%,267.14,275.41,2023-05-09,14,2028-11-09,5.6222,0.4767
15,CER,DICP,5830.0,↓-2.83%,73.7%,7911.2,13.24%,4.02,4.07%,7.84%,10.20%,4.68%,14.76%,5579.08,5701.95,2023-06-30,66,2034-01-02,10.8444,0.3707
16,CER,DIP0,5900.0,↑5.30%,74.6%,7911.2,12.93%,4.05,4.09%,6.00%,9.99%,5.70%,14.97%,5665.58,5754.54,2023-06-30,66,2034-01-02,10.8444,0.3735
17,CER,PARP,2725.0,↑0.37%,44.5%,6121.9,11.19%,8.41,5.44%,3.53%,9.98%,5.72%,12.80%,2590.03,2651.29,2023-10-02,160,2038-12-31,15.9111,0.5286
18,CER,PAP0,2740.0,↓-2.14%,44.8%,6121.9,11.12%,8.42,5.44%,2.60%,9.68%,5.72%,13.00%,2591.38,2643.54,2023-10-02,160,2038-12-31,15.9111,0.5292
19,CER,CUAP,3694.0,↑0.65%,43.0%,8580.9,10.89%,9.84,5.73%,2.54%,9.89%,5.70%,12.66%,3510.01,3582.86,2023-06-30,66,2046-01-02,23.0194,0.4275
20,USD,AL29D,21.6,↓-4.00%,21.5%,100.3,58.95%,2.27,9.61%,40.88%,44.40%,30.49%,58.96%,20.35,20.73,2023-07-10,76,2029-07-10,6.2972,0.3605
21,USD,AL30D,20.61,↑0.19%,20.6%,100.2,57.56%,2.27,9.61%,45.99%,42.69%,29.32%,57.60%,19.31,19.83,2023-07-10,76,2030-07-10,7.3111,0.3105
22,USD,AE38D,26.0,↓-2.62%,25.7%,101.2,31.74%,3.98,10.28%,72.78%,27.19%,21.69%,33.22%,24.57,25.06,2023-07-10,76,2038-01-11,14.9278,0.2666
23,USD,AL41D,22.5,↓-0.66%,22.3%,101.0,28.63%,4.61,10.46%,70.16%,23.49%,18.19%,29.31%,21.00,21.61,2023-07-10,76,2041-07-10,18.4722,0.2496
24,USD,AL35D,20.6,↓-2.18%,20.5%,100.5,31.22%,4.79,10.50%,12.29%,25.92%,20.57%,31.22%,19.23,19.83,2023-07-10,76,2035-07-10,12.3833,0.3868
25,USD,GD29D,24.9,↑1.63%,24.8%,100.3,51.55%,2.40,9.68%,95.02%,40.57%,27.49%,52.91%,22.95,23.85,2023-07-10,76,2029-07-10,6.2972,0.3811
26,USD,GD30D,25.85,↑1.77%,25.8%,100.2,46.15%,2.53,9.74%,74.57%,37.38%,25.82%,49.07%,24.09,24.74,2023-07-10,76,2030-07-10,7.3111,0.346
27,USD,GD46D,23.6,↓-1.75%,23.5%,100.5,31.62%,3.67,10.19%,72.99%,25.65%,19.66%,33.27%,21.57,22.53,2023-07-10,76,2046-07-10,23.5444,0.1559
28,USD,GD38D,30.8,↓-6.67%,30.4%,101.2,27.17%,4.39,10.40%,28.61%,24.38%,19.56%,30.45%,28.58,29.07,2023-07-10,76,2038-01-11,14.9278,0.2941
29,USD,GD35D,24.3,↑0.87%,24.2%,100.5,27.48%,5.20,10.60%,62.96%,24.87%,19.81%,30.68%,22.45,23.15,2023-07-10,76,2035-07-10,12.3833,0.4199
30,USD,GD41D,28.05,↑0.90%,27.8%,101.0,23.63%,5.25,10.61%,14.30%,21.34%,17.03%,26.86%,26.09,26.75,2023-07-10,76,2041-07-10,18.4722,0.2842
31,LEDES,S28A3,99.5,↑0.24%,99.5%,100.0,523.13%,0.00,-12.80%,0.00%,120.33%,43.64%,523.13%,94.81,99.30,2023-04-28,3,2023-04-28,0.0056,0.0
32,LEDES,S31Y3,91.85,↓-0.43%,91.8%,100.0,149.09%,0.04,-4.58%,0.00%,119.77%,102.43%,149.09%,91.44,91.49,2023-05-31,36,2023-05-31,0.0972,0.4115
33,LEDES,S30J3,84.6,↓-0.88%,84.6%,100.0,159.55%,0.07,-3.49%,0.00%,122.41%,108.58%,159.55%,55.12,84.12,2023-06-30,66,2023-06-30,0.1806,0.3876
34,LECER,X19Y3,201.25,↓-0.47%,99.6%,202.1,6.89%,0.06,-3.82%,0.00%,2.39%,-10.59%,18.11%,197.77,200.01,2023-05-19,24,2023-05-19,0.0639,0.939
35,LECER,X16J3,158.66,↓-0.84%,99.0%,160.2,7.35%,0.13,-2.31%,0.00%,4.06%,-5.64%,8.20%,157.46,158.21,2023-06-16,52,2023-06-16,0.1417,0.9174
36,LECER,X18S3,146.75,↓-0.84%,98.1%,149.5,4.85%,0.38,-0.31%,0.00%,3.64%,-14.55%,12.14%,142.11,142.76,2023-09-18,146,2023-09-18,0.4028,0.9434
